,,,
Alabama,Baldwin County,,1003
Alabama,Madison County,,1089
Alabama,Mobile County,,1097
Alabama,Montgomery County,,1101
Alabama,Morgan County,,1103
Alaska,Anchorage,,2020
Arizona,Cochise County,,4003
Arizona,Coconino County,,4005
Arizona,Maricopa County,,4013
Arizona,Mohave County,,4015
Arizona,Navajo County,,4017
Arizona,Pima County,,4019
Arizona,Pinal County,,4021
Arizona,Yavapai County,,4025
Arizona,Yuma County,,4027
Arkansas,Benton County,,5007
Arkansas,Pulaski County,,5119
California,Alameda County,,6001
California,Contra Costa County,,6013
California,Fresno County,,6019
California,Humboldt County,,6023
California,Imperial County,,6025
California,Kern County,,6029
California,Kings County,,6031
California,Los Angeles County,,6037
California,Madera County,,6039
California,Marin County,,6041
California,Merced County,,6047
California,Monterey County,,6053
California,Nevada County,,6057
California,Orange County,,6059
California,Placer County,,6061
California,Riverside County,,6065
California,Sacramento County,,6067
California,San Bernardino County,,6071
California,San Diego County,,6073
California,San Francisco County,,6075
California,San Joaquin County,,6077
California,San Luis Obispo County,,6079
California,San Mateo County,,6081
California,Santa Barbara County,,6083
California,Santa Clara County,,6085
California,Santa Cruz County,,6087
California,Shasta County,,6089
California,Solano County,,6095
California,Sonoma County,,6097
California,Stanislaus County,,6099
California,Tulare County,,6107
California,Ventura County,,6111
California,Yolo County,,6113
Colorado,Adams County,,8001
Colorado,Arapahoe County,,8005
Colorado,Boulder County,,8013
Colorado,Denver County,,8031
Colorado,El Paso County,,8041
Colorado,Jefferson County,,8059
Colorado,Larimer County,,8069
Colorado,Mesa County,,8077
Colorado,Pueblo County,,8101
Colorado,Weld County,,8123
Connecticut,Fairfield County,,9001
Connecticut,Hartford County,,9003
Connecticut,New Haven County,,9009
Connecticut,Windham County,,9015
Delaware,New Castle County,,10003
Delaware,Sussex County,,10005
District of Columbia,,US-DC,11001
Florida,Alachua County,,12001
Florida,Bay County,,12005
Florida,Brevard County,,12009
Florida,Broward County,,12011
Florida,Charlotte County,,12015
Florida,Collier County,,12021
Florida,Duval County,,12031
Florida,Escambia County,,12033
Florida,Hillsborough County,,12057
Florida,Indian River County,,12061
Florida,Lake County,,12069
Florida,Lee County,,12071
Florida,Leon County,,12073
Florida,Manatee County,,12081
Florida,Marion County,,12083
Florida,Martin County,,12085
Florida,Miami-Dade County,,12086
Florida,Monroe County,,12087
Florida,Okaloosa County,,12091
Florida,Okeechobee County,,12093
Florida,Orange County,,12095
Florida,Osceola County,,12097
Florida,Palm Beach County,,12099
Florida,Pasco County,,12101
Florida,Pinellas County,,12103
Florida,Polk County,,12105
Florida,Sarasota County,,12115
Florida,Seminole County,,12117
Florida,St. Johns County,,12109
Florida,St. Lucie County,,12111
Florida,Sumter County,,12119
Florida,Volusia County,,12127
Florida,Walton County,,12131
Georgia,Bartow County,,13015
Georgia,Camden County,,13039
Georgia,Chatham County,,13051
Georgia,Clarke County,,13059
Georgia,Clayton County,,13063
Georgia,Cobb County,,13067
Georgia,Columbia County,,13073
Georgia,DeKalb County,,13089
Georgia,Douglas County,,13097
Georgia,Fulton County,,13121
Georgia,Glynn County,,13127
